Id Tiny;Ref. Pai;Código;Embalagem;Quantidade embalagem;;;;;;;;;;;;;;;;;;;;;;;;;;;
935283075;;RA-469R;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
935283103;;RA-469R-4;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
935283108;;RA-469H-4;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;2191;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;2192;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;2193;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;5248;EMB-012;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;12;EMB-012;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;248;EMB-012;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;11;EMB-012;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;13;EMB-012;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;14;EMB-012;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;22a;EMB-012;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;21A;EMB-012;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;8156;EMB-012;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;156;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;415;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891945657;;8155A;EMB-012;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;8155;EMB-012;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891945690;;8155C;EMB-012;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891945733;;8155R;EMB-012;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891945769;;8155P;EMB-012;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891945759;;8155VD;EMB-012;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891945709;;8155VM;EMB-012;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;155;EMB-012;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891945631;;155A;EMB-012;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891945643;;155C;EMB-012;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891945697;;155R;EMB-012;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891945678;;155VD;EMB-012;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891945722;;155VM;EMB-012;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;17;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;401;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;5401;EMB-012;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;250;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;250-2;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;5156;EMB-012;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;225;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;5415;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;5155;EMB-012;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;5250;EMB-012;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891952266;;5250-2;EMB-012;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;150;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;151;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;151;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;185;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;184;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;183;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;181;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;182;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;8185;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;1185;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;8184;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;1184;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;1183;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;8183;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;1181;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;8181;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;8182;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891945462;;8182A;EMB-008;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891945445;;8182B;EMB-008;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891945434;;8182C;EMB-008;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891945424;;8182R;EMB-008;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891945413;;8182VM;EMB-008;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;1182;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;188;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;188;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;187;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;8188;EMB-008;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891952491;;8188A;EMB-008;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891952435;;8188B;EMB-008;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891952415;;8188C;EMB-008;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891952393;;8188R;EMB-008;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
